element	jmol	cpk	cpk_new
H	FFFFFF	FFFFFF	FFFFFF
He	D9FFFF	FFC0CB	FFC0CB
Li	CC80FF	B22222	B22121
Be	C2FF00	FF1493	FA1691
B	FFB5B5	00FF00	00FF00
C	909090	C8C8C8	D3D3D3
N	3050F8	8F8FFF	87CEE6
O	FF0D0D	F00000	FF0000
F	90E050	DAA520	DAA520
Ne	B3E3F5	FF1493	FA1691
Na	AB5CF2	0000FF	0000FF
Mg	8AFF00	228B22	228B22
Al	BFA6A6	808090	696969
Si	F0C8A0	DAA520	DAA520
P	FF8000	FFA500	FFAA00
S	FFFF30	FFC832	FFFF00
Cl	1FF01F	00FF00	00FF00
Ar	80D1E3	FF1493	FA1691
K	8F40D4	FF1493	FA1691
Ca	3DFF00	808090	696969
Sc	E6E6E6	FF1493	FA1691
Ti	BFC2C7	808090	696969
V	A6A6AB	FF1493	FA1691
Cr	8A99C7	808090	696969
Mn	9C7AC7	808090	696969
Fe	E06633	FFA500	FFAA00
Co	F090A0	FF1493	FA1691
Ni	50D050	A52A2A	802828
Cu	C88033	A52A2A	802828
Zn	7D80B0	A52A2A	802828
Ga	C28F8F	FF1493	FA1691
Ge	668F8F	FF1493	FA1691
As	BD80E3	FF1493	FA1691
Se	FFA100	FF1493	FA1691
Br	A62929	A52A2A	802828
Kr	5CB8D1	FF1493	FA1691
Rb	702EB0	FF1493	FA1691
Sr	00FF00	FF1493	FA1691
Y	94FFFF	FF1493	FA1691
Zr	94E0E0	FF1493	FA1691
Nb	73C2C9	FF1493	FA1691
Mo	54B5B5	FF1493	FA1691
Tc	3B9E9E	FF1493	FA1691
Ru	248F8F	FF1493	FA1691
Rh	0A7D8C	FF1493	FA1691
Pd	006985	FF1493	FA1691
Ag	C0C0C0	808090	696969
Cd	FFD98F	FF1493	FA1691
In	A67573	FF1493	FA1691
Sn	668080	FF1493	FA1691
Sb	9E63B5	FF1493	FA1691
Te	D47A00	FF1493	FA1691
I	940094	A020F0	A020F0
Xe	429EB0	FF1493	FA1691
Cs	57178F	FF1493	FA1691
Ba	00C900	FFA500	FFAA00
La	70D4FF	FF1493	FA1691
Ce	FFFFC7	FF1493	FA1691
Pr	D9FFC7	FF1493	FA1691
Nd	C7FFC7	FF1493	FA1691
Pm	A3FFC7	FF1493	FA1691
Sm	8FFFC7	FF1493	FA1691
Eu	61FFC7	FF1493	FA1691
Gd	45FFC7	FF1493	FA1691
Tb	30FFC7	FF1493	FA1691
Dy	1FFFC7	FF1493	FA1691
Ho	00FF9C	FF1493	FA1691
Er	00E675	FF1493	FA1691
Tm	00D452	FF1493	FA1691
Yb	00BF38	FF1493	FA1691
Lu	00AB24	FF1493	FA1691
Hf	4DC2FF	FF1493	FA1691
Ta	4DA6FF	FF1493	FA1691
W	2194D6	FF1493	FA1691
Re	267DAB	FF1493	FA1691
Os	266696	FF1493	FA1691
Ir	175487	FF1493	FA1691
Pt	D0D0E0	FF1493	FA1691
Au	FFD123	DAA520	DAA520
Hg	B8B8D0	FF1493	FA1691
Tl	A6544D	FF1493	FA1691
Pb	575961	FF1493	FA1691
Bi	9E4FB5	FF1493	FA1691
Po	AB5C00	FF1493	FA1691
At	754F45	FF1493	FA1691
Rn	428296	FF1493	FA1691
Fr	420066	FF1493	FA1691
Ra	007D00	FF1493	FA1691
Ac	70ABFA	FF1493	FA1691
Th	00BAFF	FF1493	FA1691
Pa	00A1FF	FF1493	FA1691
U	008FFF	FF1493	FA1691
Np	0080FF	FF1493	FA1691
Pu	006BFF	FF1493	FA1691
Am	545CF2	FF1493	FA1691
Cm	785CE3	FF1493	FA1691
Bk	8A4FE3	FF1493	FA1691
Cf	A136D4	FF1493	FA1691
Es	B31FD4	FF1493	FA1691
Fm	B31FBA	FF1493	FA1691
Md	B30DA6	FF1493	FA1691
No	BD0D87	FF1493	FA1691
Lr	C70066	FF1493	FA1691
Rf	CC0059	FF1493	FA1691
Db	D1004F	FF1493	FA1691
Sg	D90045	FF1493	FA1691
Bh	E00038	FF1493	FA1691
Hs	E6002E	FF1493	FA1691
Mt	EB0026	FF1493	FA1691
