element	atomic	ionic	covalent	vdw	crystal
H	0.53	0.25	0.37	1.2	0.1
He	0.31	0.31	0.32	1.4	
Li	1.67	1.45	1.34	1.82	0.9
Be	1.12	1.05	0.9		0.41
B	0.87	0.85	0.82		0.25
C	0.67	0.7	0.77	1.7	0.29
N	0.56	0.65	0.75	1.55	0.3
O	0.48	0.6	0.73	1.52	1.21
F	0.42	0.5	0.71	1.47	1.19
Ne	0.38	0.38	0.69	1.54	
Na	1.9	1.8	1.54	2.27	1.16
Mg	1.45	1.5	1.3	1.73	0.86
Al	1.18	1.25	1.18		0.53
Si	1.11	1.1	1.11	2.1	0.4
P	0.98	1	1.06	1.8	0.31
S	0.88	1	1.02	1.8	0.43
Cl	0.79	1	0.99	1.75	1.67
Ar	0.71	0.71	0.97	1.88	
K	2.43	2.2	1.96	2.75	1.52
Ca	1.94	1.8	1.74		1.14
Sc	1.84	1.6	1.44		0.89
Ti	1.76	1.4	1.36		0.75
V	1.71	1.35	1.25		0.68
Cr	1.66	1.4	1.27		0.76
Mn	1.61	1.4	1.39		0.81
Fe	1.56	1.4	1.25		0.69
Co	1.52	1.35	1.26		0.54
Ni	1.49	1.35	1.21	1.63	0.7
Cu	1.45	1.35	1.38	1.4	0.71
Zn	1.42	1.35	1.31	1.39	0.74
Ga	1.36	1.3	1.26	1.87	0.76
Ge	1.25	1.25	1.22		0.53
As	1.14	1.15	1.19	1.85	0.72
Se	1.03	1.15	1.16	1.9	0.56
Br	0.94	1.15	1.14	1.85	1.82
Kr	0.88	0.88	1.1	2.02	
Rb	2.65	2.35	2.11		1.66
Sr	2.19	2	1.92		1.32
Y	2.12	1.85	1.62		1.04
Zr	2.06	1.55	1.48		0.86
Nb	1.98	1.45	1.37		0.78
Mo	1.9	1.45	1.45		0.79
Tc	1.83	1.35	1.56		0.79
Ru	1.78	1.3	1.26		0.82
Rh	1.73	1.35	1.35		0.81
Pd	1.69	1.4	1.31	1.63	0.78
Ag	1.65	1.6	1.53	1.72	1.29
Cd	1.61	1.55	1.48	1.58	0.92
In	1.56	1.55	1.44	1.93	0.94
Sn	1.45	1.45	1.41	2.17	0.69
Sb	1.33	1.45	1.38		0.9
Te	1.23	1.4	1.35	2.06	1.11
I	1.15	1.4	1.33	1.98	2.06
Xe	1.08	1.08	1.3	2.16	0.62
Cs	2.98	2.6	2.25		1.81
Ba	2.53	2.15	1.98		1.49
La	1.95	1.95	1.69		1.36
Ce	1.85	1.85			1.15
Pr	2.47	1.85			1.32
Nd	2.06	1.85			1.3
Pm	2.05	1.85			1.28
Sm	2.38	1.85			1.1
Eu	2.31	1.85			1.31
Gd	2.33	1.8			1.08
Tb	2.25	1.75			1.18
Dy	2.28	1.75			1.05
Ho	2.26	1.75			1.04
Er	2.26	1.75			1.03
Tm	2.22	1.75			1.02
Yb	2.22	1.75			1.13
Lu	2.17	1.75	1.6		1
Hf	2.08	1.55	1.5		0.85
Ta	2	1.45	1.38		0.78
W	1.93	1.35	1.46		0.74
Re	1.88	1.35	1.59		0.77
Os	1.85	1.3	1.28		0.77
Ir	1.8	1.35	1.37		0.77
Pt	1.77	1.35	1.28	1.75	0.74
Au	1.74	1.35	1.44	1.66	1.51
Hg	1.71	1.5	1.49	1.55	0.83
Tl	1.56	1.9	1.48	1.96	1.03
Pb	1.54	1.8	1.47	2.02	1.49
Bi	1.43	1.6	1.46		1.17
Po	1.35	1.9			1.08
At	1.27	1.27			0.76
Rn	1.2	1.2	1.45		
Fr					1.94
Ra		2.15			1.62
Ac	1.95	1.95			1.26
Th	1.8	1.8			1.19
Pa	1.8	1.8			1.09
U	1.75	1.75		1.86	0.87
Np	1.75	1.75			
Pu	1.75	1.75			1
Am	1.75	1.75			1.12
Cm					1.11
